iso2_code;year;developers;software_eci_2020;trade_eci_2020;tech_eci_2020;research_eci_2020;iso3_code;pop_o;gdp_o;gdpcap_o;gdp_ppp_o;gdpcap_ppp_o;gini_mean;country;emissions;nat_res
MK;2020;26135;-0.6029781729896514;0.0195799508;-0.9951034541;-0.4960517053;MKD;2072.531;12116981.815;5.846;34652076.034;16.72;35.989999999999995;MKD;5.714881581;6.929697044
ML;2020;2470;;-1.0665979477;;-0.5488719886;MLI;20250.834;17465392.779;0.862;47544840.719;2.348;36.0;;;
MM;2020;58301;-0.6188023181774281;-1.1395724938;;-0.4758249999;MMR;54409.794;78930257.227;1.451;278763558.003;5.123;34.4;;;
MN;2020;16325;-0.8733603632943546;-1.2066348812;-2.040314183;0.1402056376;MNG;3278.292;13312981.595;4.061;40539157.201;12.366;32.96666666666667;MNG;7.248294092;7.781722392
MO;2020;9422;-0.7676128390766916;;;;MAC;649.342;25586111.076;39.403;39538790.905;60.891;;;;
MP;2020;332;;;;;MNP;57.557;;;;;;;;
MQ;2020;1799;;;;;MTQ;;;;;;;;;
MR;2020;1874;;-1.3390880103;;;MRT;4649.66;7915985.514;1.702;25060023.691;5.39;32.6;;;
MT;2020;13959;-0.4299408825357071;;;;MLT;515.332;14917038.504;28.946;22284590.647;43.243;29.27;;;
MU;2020;12293;-0.7483002543538901;;;;MUS;1265.74;10926820.603;8.633;25984165.904;20.529;37.65;;;
MV;2020;4592;-1.2864110948733196;;;;MDV;540.542;3742769.967;6.924;7266174.293;13.442;30.3;;;
MW;2020;4088;-1.2451530358886562;;;0.5147367152;MWI;19129.955;12172128.47;0.636;30444856.441;1.591;42.9;;;
MX;2020;634003;0.4515052778582867;1.1522082214;0.02524182413;0.665060178;MEX;128932.755;1087117783.073;8.432;2407278986.001;18.671;47.8;MEX;5.536459028;6.723262401
MY;2020;268494;-0.1166080548712816;1.0330139215;0.6877182952;-0.2869009118;MYS;;;;;;41.875;MYS;5.836055994;7.954344748
MY;2020;268494;-0.1166080548712816;1.0330139215;0.6877182952;-0.2869009118;MYS;32365.997;337006023.79;10.412;903704331.074;27.921;41.875;MYS;5.836055994;7.954344748
MZ;2020;6965;-1.0525733498991448;-1.2485046793;;-0.3303080794;MOZ;31255.436;14028811.072;0.449;40547635.7;1.297;52.25;;;
NC;2020;1667;;;;;NCL;271.96;9435529.927;34.695;;;;;;
