iso2_code;language;num_pushers;period;diversity;ubiquity;mcp;eci;pci;density;coi;cog;rca;year
CZ;Pug;129;1;61;32;0;1.7427979768563386;0.6381946087936875;0.5068186734471426;2.042304051638736;-0.11753140997463625;0.8619209885115757;2021
CZ;Puppet;0;1;61;5;0;1.7427979768563386;2.6076274249939098;0.32214380608803833;2.042304051638736;0.7084828841828588;0.0;2021
CZ;PureBasic;0;1;61;18;0;1.7427979768563386;1.5707480833917693;0.4433358771597706;2.042304051638736;0.40544553560494173;0.0;2021
CZ;Python;5252;1;61;58;0;1.7427979768563386;0.022688706324823688;0.5479347224831675;2.042304051638736;-0.1773654075827535;0.9970910291121864;2021
CZ;QML;0;1;61;16;0;1.7427979768563386;2.2680241429686836;0.44184050343444947;2.042304051638736;0.7396961231827685;0.0;2021
CZ;QMake;209;1;61;26;1;1.7427979768563386;1.7258864275598262;0.6273997496799377;2.042304051638736;0.0;2.209981570272499;2021
CZ;R;313;1;61;27;0;1.7427979768563386;1.4151374099908083;0.5841857818654852;2.042304051638736;0.24394357757689616;0.8378780112948931;2021
CZ;Racket;0;1;61;6;0;1.7427979768563386;2.3015420957265986;0.29483382436282235;2.042304051638736;0.6806971066244565;0.0;2021
CZ;Raku;139;1;61;21;1;1.7427979768563386;2.3631262715901915;0.5400601719909414;2.042304051638736;0.0;2.339420655769808;2021
CZ;Rebol;0;1;61;9;0;1.7427979768563386;1.9213714454151463;0.33462743396588035;2.042304051638736;0.6594969159753558;0.0;2021
CZ;Roff;662;1;61;33;1;1.7427979768563386;1.957976084085112;0.6191017251897053;2.042304051638736;0.0;1.9728959588010477;2021
CZ;Ruby;1601;1;61;52;0;1.7427979768563386;-0.6146901572876838;0.42647437927354176;2.042304051638736;-0.40060657779724584;0.9428765114867806;2021
CZ;Rust;349;1;61;31;1;1.7427979768563386;1.7334965564154545;0.614538572898027;2.042304051638736;0.0;1.3849738420637698;2021
CZ;SCSS;2170;1;61;92;0;1.7427979768563386;-0.6534277719875627;0.428947848258226;2.042304051638736;-0.6472511997566146;0.9169670999123332;2021
CZ;SQLPL;0;1;61;6;0;1.7427979768563386;1.9191495231921563;0.293676565147271;2.042304051638736;0.5535683926610605;0.0;2021
CZ;SWIG;101;1;61;17;1;1.7427979768563386;2.423958507729316;0.4817898285392296;2.042304051638736;0.0;2.5611297515173046;2021
CZ;Sass;177;1;61;27;1;1.7427979768563386;1.429100926808188;0.5702367745501262;2.042304051638736;0.0;1.8024421091110858;2021
CZ;Scala;167;1;61;29;1;1.7427979768563386;2.0799716420938856;0.6108591833097708;2.042304051638736;0.0;1.3080262859600078;2021
CZ;Scheme;0;1;61;15;0;1.7427979768563386;2.3987787583136844;0.4549826098486135;2.042304051638736;0.7500758622530838;0.0;2021
CZ;ShaderLab;122;1;61;39;0;1.7427979768563386;1.26130480520229;0.5857284395706597;2.042304051638736;0.04935198051992946;0.6846095397295587;2021
CZ;Shell;5826;1;61;90;1;1.7427979768563386;-0.29928897720393177;0.5462507886028684;2.042304051638736;-0.0;1.1850233748933248;2021
CZ;SmPL;0;1;61;14;0;1.7427979768563386;2.081623436008015;0.3838233311488084;2.042304051638736;0.6648627561055267;0.0;2021
CZ;Smalltalk;121;1;61;24;1;1.7427979768563386;1.9081316645631845;0.5623254984481842;2.042304051638736;0.0;2.232051561662535;2021
CZ;Smarty;336;1;61;29;1;1.7427979768563386;2.1209155901980963;0.6242659981369237;2.042304051638736;0.0;1.636055075727325;2021
CZ;Solidity;124;1;61;33;1;1.7427979768563386;0.9552687037009601;0.5770306608824213;2.042304051638736;-0.0;1.1109625849313736;2021
CZ;SourcePawn;0;1;61;15;0;1.7427979768563386;2.4867255641061785;0.4320751541395253;2.042304051638736;0.8347509540315016;0.0;2021
CZ;Standard ML;0;1;61;10;0;1.7427979768563386;2.1764621922312632;0.353575855136644;2.042304051638736;0.7468109713201169;0.0;2021
CZ;Starlark;171;1;61;20;0;1.7427979768563386;0.7216975297949824;0.4627479766257401;2.042304051638736;0.008948506527735116;0.8943558752362697;2021
CZ;Stylus;0;1;61;9;0;1.7427979768563386;1.7510065020554149;0.3741464379205118;2.042304051638736;0.4146008355673412;0.0;2021
CZ;Svelte;102;1;61;27;1;1.7427979768563386;1.8371593221890044;0.5740479799533525;2.042304051638736;0.0;1.9942459981433585;2021
CZ;Swift;409;1;61;53;0;1.7427979768563386;-0.5940428219734677;0.3606206486390682;2.042304051638736;-0.635276382475637;0.7337408592194887;2021
CZ;TSQL;163;1;61;39;1;1.7427979768563386;0.8911470723759964;0.603157060968963;2.042304051638736;-0.0;1.3848695448580821;2021
CZ;Tcl;173;1;61;24;1;1.7427979768563386;2.276892045230334;0.5857662311105583;2.042304051638736;0.0;2.2155930580212098;2021
CZ;TeX;503;1;61;26;1;1.7427979768563386;1.9757791408130914;0.6045906321311949;2.042304051638736;0.0;1.4792340241243391;2021
CZ;Thrift;0;1;61;7;0;1.7427979768563386;2.541235190170863;0.3242790720062682;2.042304051638736;0.7515141830114871;0.0;2021
CZ;Twig;164;1;61;20;1;1.7427979768563386;1.5155043633318297;0.5669486858736348;2.042304051638736;0.0;2.126485329364264;2021
CZ;TypeScript;2262;1;61;78;1;1.7427979768563386;-0.11294421606689943;0.5486814841169334;2.042304051638736;-0.0;1.1250259373186424;2021
CZ;VBScript;0;1;61;13;0;1.7427979768563386;2.4849183146074143;0.3984247260688949;2.042304051638736;0.8601695974433595;0.0;2021
CZ;VHDL;130;1;61;12;1;1.7427979768563386;2.335970564387284;0.4385293163604579;2.042304051638736;0.0;6.175107179760477;2021
CZ;Verilog;0;1;61;21;0;1.7427979768563386;1.9814744406197582;0.5125357522436328;2.042304051638736;0.5144633967341766;0.0;2021
CZ;Vim Script;422;1;61;30;1;1.7427979768563386;1.9948821052743864;0.6159902004645492;2.042304051638736;0.0;1.5011934567130352;2021
CZ;Vim Snippet;0;1;61;14;0;1.7427979768563386;2.381946730043088;0.40934712009397;2.042304051638736;0.8084170697491121;0.0;2021
CZ;Visual Basic .NET;0;1;61;17;0;1.7427979768563386;1.8456827652855063;0.4076775531765838;2.042304051638736;0.6441033914649328;0.0;2021
CZ;Vue;513;1;61;59;0;1.7427979768563386;-0.5066941017796166;0.4200921273541791;2.042304051638736;-0.5522035319732079;0.6824257114076984;2021
CZ;XS;0;1;61;13;0;1.7427979768563386;2.062189067974369;0.36787243259567176;2.042304051638736;0.6716529530668489;0.0;2021
CZ;XSLT;427;1;61;30;1;1.7427979768563386;1.9547081063690328;0.6250831939470911;2.042304051638736;0.0;2.231151223211806;2021
CZ;Yacc;218;1;61;29;1;1.7427979768563386;2.098227217346105;0.6125419176737879;2.042304051638736;0.0;1.9689259796699459;2021
CZ;sed;178;1;61;23;1;1.7427979768563386;2.319967021267478;0.5676731135018277;2.042304051638736;0.0;2.333710154386005;2021
DE;ANTLR;692;1;110;19;1;2.037854920344662;2.2660215905761234;0.9285090360228658;-1.661952393381804;-0.0;1.9834289671845946;2021
DE;ASP.NET;459;1;110;38;0;2.037854920344662;0.24544049326866335;0.6357718259027259;-1.661952393381804;-0.4714699290828077;0.4362319039909297;2021
DE;Ada;230;1;110;9;1;2.037854920344662;2.3490267083695575;0.9249926168735326;-1.661952393381804;0.0;1.7620829838524967;2021
DE;Apex;119;1;110;7;1;2.037854920344662;2.0809373311574224;0.908780502984178;-1.661952393381804;0.0;1.3108572214069782;2021
DE;AppleScript;398;1;110;11;1;2.037854920344662;2.5113453801885353;0.945896018947804;-1.661952393381804;0.0;2.312413788273527;2021
DE;Assembly;4110;1;110;37;1;2.037854920344662;1.6306942224945278;0.8738963549472706;-1.661952393381804;-0.0;1.4165118807767918;2021
DE;Astro;0;1;110;1;0;2.037854920344662;2.619466184161546;0.6198386076710012;-1.661952393381804;0.5049744850125036;0.0;2021
DE;AutoHotkey;384;1;110;10;1;2.037854920344662;2.5302394593756614;0.9494356945648282;-1.661952393381804;0.0;2.0881886974229706;2021
DE;Awk;1826;1;110;27;1;2.037854920344662;2.220272531656648;0.9151355388880114;-1.661952393381804;-0.0;1.9476680775123294;2021
DE;Batchfile;11281;1;110;41;1;2.037854920344662;1.385680991648399;0.8608577751621409;-1.661952393381804;-0.0;1.3904742717259015;2021
DE;Beef;0;1;110;1;0;2.037854920344662;0.8604694356513835;0.2517926449675907;-1.661952393381804;-0.05497612532874199;0.0;2021
DE;Bicep;0;1;110;4;0;2.037854920344662;2.0351393436732192;0.7954075197236419;-1.661952393381804;0.1474061938174361;0.0;2021
DE;Blade;901;1;110;63;0;2.037854920344662;-0.6022584861679225;0.4636778713002774;-1.661952393381804;-0.7878377705266745;0.34652256410596627;2021
DE;Brainfuck;128;1;110;7;1;2.037854920344662;1.7968160698579938;0.8854795560959041;-1.661952393381804;0.0;1.6667704246203587;2021
DE;Brightscript;0;1;110;1;0;2.037854920344662;0.8604694356513835;0.2517926449675907;-1.661952393381804;-0.05497612532874199;0.0;2021
