iso2_code;language;exit01;consider00;pci;ubiquity;rca01;density
BE;Tcl;0;1;2.174695797488847;26.0;1.0;0.5591676117477093
BE;TeX;0;1;1.6312304894969374;28.0;1.0;0.6052525169927618
BE;Twig;0;1;1.5970923839089244;21.0;1.0;0.5242741042498962
BE;TypeScript;0;1;-0.1330371242451686;75.0;1.0;0.6183146283046057
BE;Vim Script;0;1;1.9663895014720945;27.0;1.0;0.5886464686798083
BE;XSLT;0;1;1.7267384888454036;31.0;1.0;0.606493908368194
BE;sed;0;1;2.363490792628528;22.0;1.0;0.4982085049510959
BF;HTML;0;1;-1.301666052482916;116.0;1.0;0.0692537313432835
BG;ASP.NET;0;1;0.2839207989057119;38.0;1.0;0.3181799103348037
BG;Batchfile;0;1;1.7471843555744355;36.0;1.0;0.1844787101530967
BG;Blade;1;0;-0.4606071616066987;54.0;0.0;0.4165832760121452
BG;C#;0;1;0.0188258694979645;68.0;1.0;0.3527688692314753
BG;C++;0;1;1.178963277107531;36.0;1.0;0.2029989873268929
BG;CSS;0;1;-1.2027521866672362;108.0;1.0;0.5706717698120137
BG;HTML;0;1;-1.301666052482916;116.0;1.0;0.5617910447761194
BG;Handlebars;0;1;0.5818876464806688;36.0;1.0;0.2745050748013934
BG;Java;0;1;-0.6507630317877583;71.0;1.0;0.4342648072841072
BG;JavaScript;0;1;-1.0672091966498596;113.0;1.0;0.5383670737055931
BG;Lua;0;1;1.9072598826057532;29.0;1.0;0.1624650159708513
BG;PHP;0;1;-0.7076885850632202;95.0;1.0;0.4559375939119269
BG;SCSS;0;1;-0.6453042817682486;90.0;1.0;0.4396880573187488
BG;Smalltalk;0;1;2.0143853326850647;26.0;1.0;0.136556590403958
BG;Smarty;0;1;1.933559611183388;30.0;1.0;0.1682146616204046
BG;TSQL;0;1;-0.3714486086470449;61.0;1.0;0.4082856826252165
BG;TypeScript;0;1;-0.1330371242451686;75.0;1.0;0.3725950720871583
BG;Vim Script;0;1;1.9663895014720945;27.0;1.0;0.156098735183543
BG;XSLT;0;1;1.7267384888454036;31.0;1.0;0.1790070139784738
BH;CSS;0;1;-1.2027521866672362;108.0;1.0;0.2385845490255799
BH;HTML;0;1;-1.301666052482916;116.0;1.0;0.2453731343283582
BH;JavaScript;0;1;-1.0672091966498596;113.0;1.0;0.2213291475266037
BH;Python;0;1;-0.0611221261375305;55.0;1.0;0.085093317182997
BH;Shell;0;1;-0.2362835280042434;76.0;1.0;0.1008973610078087
BJ;CSS;0;1;-1.2027521866672362;108.0;1.0;0.2685519041241715
BJ;HTML;0;1;-1.301666052482916;116.0;1.0;0.2722388059701492
BJ;JavaScript;0;1;-1.0672091966498596;113.0;1.0;0.2459638512499711
BJ;PHP;0;1;-0.7076885850632202;95.0;1.0;0.1692345045852323
BN;HTML;0;1;-1.301666052482916;116.0;1.0;0.0692537313432835
BO;Blade;0;1;-0.4606071616066987;54.0;1.0;0.4477185918545419
BO;C#;0;1;0.0188258694979645;68.0;1.0;0.2905315505877202
BO;CSS;0;1;-1.2027521866672362;108.0;1.0;0.6153170131221606
BO;Dart;0;1;-0.6261940594326862;37.0;1.0;0.4455354323344507
BO;HTML;0;1;-1.301666052482916;116.0;1.0;0.6101492537313432
BO;Hack;0;1;-0.4422427712823875;53.0;1.0;0.4209820803920477
