iso2_code;language;entry01;consider00;pci;rca01;rel_density;group
BR;Haskell;0;1;2.180985686293269;0.0;0.0;Systems_Low_Level_Programming
BR;Inno Setup;0;1;2.5454369573462654;0.0;0.0;Specialized_Research
BR;Jinja;0;1;2.196084533029546;0.0;;
BR;Julia;0;1;2.445562557532981;0.0;0.0;Specialized_Research
BR;Jupyter Notebook;0;1;0.8471960848148669;0.0;0.0;Systems_Low_Level_Programming
BR;LLVM;0;1;2.604123058650817;0.0;0.0;Scripting_Automation
BR;Less;0;1;-0.2804520567789592;0.0;1.0;Web_Application_Development
BR;Lex;0;1;2.162599197003903;0.0;0.0;Machine_Learning_Embedded_Systems
BR;Liquid;0;1;2.412736976218012;0.0;0.3333333333333333;Scripting_Automation
BR;Lua;0;1;1.9550329273939944;0.0;0.0;Systems_Low_Level_Programming
BR;M;0;1;2.477021637341132;0.0;0.0;Specialized_Research
BR;M4;0;1;2.13591197847386;0.0;0.0;Systems_Low_Level_Programming
BR;MATLAB;0;1;1.855917839473117;0.0;0.0;Systems_Low_Level_Programming
BR;Makefile;0;1;1.5834986395889008;0.0;0.0;Systems_Low_Level_Programming
BR;Mako;0;1;1.446458610024901;0.0;0.0;Specialized_Research
BR;Mathematica;0;1;2.506343253872949;0.0;0.0;Specialized_Research
BR;Meson;0;1;2.484664791810492;0.0;0.25;Specialized_Research
BR;Mustache;0;1;2.0461741451331616;0.0;;
BR;NASL;0;1;2.479327202391152;0.0;0.0;Specialized_Research
BR;NSIS;0;1;2.443000541739636;0.0;0.0;Machine_Learning_Embedded_Systems
BR;Nim;0;1;2.12033436785924;0.0;0.0;Scripting_Automation
BR;Nix;0;1;2.3741654386224957;0.0;0.0;Specialized_Research
BR;Nunjucks;0;1;2.327867909641275;0.0;;
BR;OCaml;0;1;2.471538245468382;0.0;0.0;Specialized_Research
BR;PLSQL;1;0;2.1723166057855527;0.0;1.0;Machine_Learning_Embedded_Systems
BR;PLpgSQL;0;1;2.084167492850897;0.0;0.0;Systems_Low_Level_Programming
BR;Pawn;0;1;2.5436333735931758;0.0;0.0;Specialized_Research
BR;Perl;0;1;2.031189638455968;0.0;0.0;Systems_Low_Level_Programming
BR;PostScript;0;1;2.572321668271188;0.0;0.0;Specialized_Research
BR;PowerShell;0;1;1.1647595522522798;0.0;0.0;Systems_Low_Level_Programming
BR;Processing;0;1;2.087294043609872;0.0;0.0;Specialized_Research
BR;Prolog;0;1;2.287641902908382;0.0;0.1666666666666666;Specialized_Research
BR;Pug;0;1;0.6522318478058452;0.0;0.5;Systems_Low_Level_Programming
BR;PureBasic;0;1;1.9499797475574088;0.0;0.5;Scripting_Automation
BR;Python;0;1;0.1363314420870244;0.0;0.0;Web_Application_Development
BR;QML;0;1;2.250034431709361;0.0;0.0;Specialized_Research
BR;QMake;0;1;1.9737819677242063;0.0;0.0;Machine_Learning_Embedded_Systems
BR;R;0;1;1.7766913381020473;0.0;0.0;Systems_Low_Level_Programming
BR;Raku;0;1;2.4363690705022534;0.0;0.1666666666666666;Machine_Learning_Embedded_Systems
BR;Roff;0;1;2.0836874965079284;0.0;0.0;Systems_Low_Level_Programming
BR;Ruby;0;1;-0.5314756702149157;0.0;1.0;Web_Application_Development
