period;language_1;language_2;proximity;year
1;Ada;Haskell;0.18518518518518517;2020
1;Ada;HyPhy;0.1111111111111111;2020
1;Ada;IDL;0.2222222222222222;2020
1;Ada;Inno Setup;0.3333333333333333;2020
1;Ada;Java;0.056338028169014086;2020
1;Ada;JavaScript;0.02654867256637168;2020
1;Ada;Julia;0.4117647058823529;2020
1;Ada;Jupyter Notebook;0.041666666666666664;2020
1;Ada;Kotlin;0.05357142857142857;2020
1;Ada;LLVM;0.4444444444444444;2020
1;Ada;LOLCODE;0.2222222222222222;2020
1;Ada;Less;0.06818181818181818;2020
1;Ada;Lex;0.23076923076923078;2020
1;Ada;Lua;0.1724137931034483;2020
1;Ada;M;0.42857142857142855;2020
1;Ada;M4;0.23333333333333334;2020
1;Ada;MATLAB;0.16;2020
1;Ada;Makefile;0.15789473684210525;2020
1;Ada;Mako;0.23809523809523808;2020
1;Ada;Mathematica;0.38461538461538464;2020
1;Ada;Meson;0.26666666666666666;2020
1;Ada;NASL;0.4666666666666667;2020
1;Ada;NCL;0.0;2020
1;Ada;NSIS;0.3333333333333333;2020
1;Ada;Nemerle;0.1111111111111111;2020
1;Ada;Nix;0.2857142857142857;2020
1;Ada;OCaml;0.5;2020
1;Ada;Objective-C;0.08888888888888889;2020
1;Ada;Objective-C++;0.2692307692307692;2020
1;Ada;OpenSCAD;0.3333333333333333;2020
1;Ada;PHP;0.031578947368421054;2020
1;Ada;PLSQL;0.16;2020
1;Ada;PLpgSQL;0.1875;2020
1;Ada;Pascal;0.19047619047619047;2020
1;Ada;Pawn;0.5454545454545454;2020
1;Ada;Perl;0.23333333333333334;2020
1;Ada;PostScript;0.4666666666666667;2020
1;Ada;PowerShell;0.05405405405405406;2020
1;Ada;Processing;0.4117647058823529;2020
1;Ada;Prolog;0.3333333333333333;2020
1;Ada;Pug;0.06666666666666667;2020
1;Ada;Puppet;0.3333333333333333;2020
1;Ada;PureBasic;0.5;2020
1;Ada;Python;0.07272727272727272;2020
1;Ada;QML;0.38461538461538464;2020
1;Ada;QMake;0.17391304347826086;2020
1;Ada;R;0.0967741935483871;2020
1;Ada;Racket;0.3333333333333333;2020
1;Ada;Raku;0.35;2020
1;Ada;Rebol;0.23529411764705882;2020
1;Ada;Roff;0.20689655172413793;2020
1;Ada;Ruby;0.03571428571428571;2020
1;Ada;Rust;0.2;2020
1;Ada;SCSS;0.05555555555555555;2020
1;Ada;SQLPL;0.2727272727272727;2020
1;Ada;SWIG;0.5;2020
1;Ada;Sass;0.16666666666666666;2020
1;Ada;Scala;0.2413793103448276;2020
1;Ada;Scheme;0.4666666666666667;2020
1;Ada;ShaderLab;0.12121212121212122;2020
1;Ada;Shell;0.07894736842105263;2020
1;Ada;SmPL;0.5384615384615384;2020
1;Ada;Smalltalk;0.19230769230769232;2020
1;Ada;Smarty;0.2;2020
1;Ada;Solidity;0.2857142857142857;2020
1;Ada;SourcePawn;0.4444444444444444;2020
1;Ada;Standard ML;0.4444444444444444;2020
1;Ada;Starlark;0.15789473684210525;2020
1;Ada;Stylus;0.4166666666666667;2020
1;Ada;Svelte;0.35294117647058826;2020
1;Ada;Swift;0.08333333333333333;2020
1;Ada;TSQL;0.06557377049180328;2020
1;Ada;Tcl;0.23076923076923078;2020
1;Ada;TeX;0.14285714285714285;2020
1;Ada;Thrift;0.5555555555555556;2020
1;Ada;Twig;0.19047619047619047;2020
1;Ada;TypeScript;0.05333333333333334;2020
1;Ada;VBScript;0.6;2020
1;Ada;VHDL;0.3333333333333333;2020
1;Ada;Verilog;0.4666666666666667;2020
1;Ada;Vim Script;0.2222222222222222;2020
1;Ada;Vim Snippet;0.5;2020
1;Ada;Visual Basic .NET;0.375;2020
1;Ada;Vue;0.08333333333333333;2020
1;Ada;XS;0.6923076923076923;2020
1;Ada;XSLT;0.1935483870967742;2020
1;Ada;Yacc;0.2222222222222222;2020
1;Ada;sed;0.3181818181818182;2020
1;Apex;ANTLR;0.23529411764705882;2020
1;Apex;ASP.NET;0.07894736842105263;2020
1;Apex;Ada;0.4444444444444444;2020
1;Apex;Apex;1.0;2020
1;Apex;AppleScript;0.4444444444444444;2020
1;Apex;Assembly;0.125;2020
1;Apex;AutoHotkey;0.4;2020
1;Apex;Awk;0.14814814814814814;2020
1;Apex;Batchfile;0.1111111111111111;2020
1;Apex;Blade;0.037037037037037035;2020
